date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2020/5/11,3.515608949,-2.510396269,0.376576957,4.543347759,0,1.939519253,3.515608949
2020/5/18,3.561459171,-2.488230773,0.397940009,4.533759352,0,1.967146657,3.561459171
2020/5/25,3.594613509,-2.309021123,0.397940009,4.572650915,0,1.973787375,3.594613509
2020/6/1,3.648847708,-2.063520992,0.414973348,4.515264345,0,1.963112933,3.648847708
2020/6/8,3.66029616,-1.836048755,0.456366033,4.516773278,1.204119983,1.948692345,3.66029616
2020/6/15,3.710963119,-1.673885706,0.46834733,4.491165517,0.477121255,1.934498451,3.710963119
2020/6/22,3.702516697,-1.577421371,0.447158031,4.46167857,0,1.934498451,3.702516697
2020/6/29,3.748110467,-1.546546255,0.394451681,4.476483822,0,1.930876291,3.748110467
2020/7/6,3.757775491,-1.596345368,0.376576957,4.47364752,0.301029996,1.93305321,3.757775491
2020/7/13,4.128011333,-1.737937528,0.369215857,4.460461827,0,1.913813852,4.128011333
2020/7/20,4.367505009,-2.004683493,0.372912003,4.443935427,0,1.920570515,4.367505009
2020/7/27,4.435079538,-2.552400454,0.383815366,4.439711549,0,1.935938899,4.435079538
2020/8/3,4.532690695,0,0.376576957,4.438099127,0,1.958359076,4.532690695
2020/8/10,4.600133974,-2.818362751,0.376576957,4.478941472,0.301029996,1.935938899,4.600133974
2020/8/17,4.677533956,-2.162345539,0.350248018,4.492969805,0.301029996,1.94799356,4.677533956
2020/8/24,4.784132095,-1.857051411,0.369215857,4.483501713,0,1.918329954,4.784132095
2020/8/31,4.880624976,-1.683162163,0.424881637,4.51263104,0.301029996,1.917580524,4.880624976
2020/9/7,4.953484245,-1.588791756,0.480006943,4.535812938,0.477121255,1.939519253,4.953484245
2020/9/14,5.012005788,-1.544367831,0.480006943,4.548217386,0.301029996,1.939519253,5.012005788
2020/9/21,5.014982309,-1.536501249,0.465382851,4.573892271,0,1.919824945,5.014982309
2020/9/28,5.089753258,-1.56310816,0.499687083,4.537995295,0.698970004,1.925017255,5.089753258
2020/10/5,5.033443861,-1.63033679,0.46834733,4.550411819,0.301029996,1.870905304,5.033443861
2020/10/12,5.067840516,-1.739479588,0.437750563,4.582915199,0.602059991,1.888099225,5.067840516
2020/10/19,5.099580514,-1.874520784,0.462397998,4.516151809,0.698970004,1.804236819,5.099580514
2020/10/26,5.120228332,-1.980516356,0.494154594,4.522418149,0.77815125,1.899976752,5.120228332
2020/11/2,5.12303453,-1.951375505,0.499687083,4.526119489,0.301029996,1.825147813,5.12303453
2020/11/9,5.115081049,-1.795102946,0.515873844,4.536166896,0.77815125,1.806179974,5.115081049
2020/11/16,5.166065829,-1.647708903,0.507855872,4.578616291,0.77815125,1.93014822,5.166065829
2020/11/23,5.166219873,-1.558357171,0.485721426,4.573764819,0.602059991,1.873403649,5.166219873
