date,N-tourists,T_avg,Sentiment,Baidu,ILI%,N_influenza,N-tourist
2020/2/17,4.222326211,1.210280291,-2.007835931,4.763562754,0.593286067,2.220108088,4.222326211
2020/2/24,4.236814275,1.315370491,-1.88802676,4.750870798,0.5289167,2.120573931,4.236814275
2020/3/2,4.434712581,1.271841607,-1.813550882,4.700660459,0.456366033,1.886490725,4.434712581
2020/3/9,4.476672252,1.305351369,-1.795514495,4.674796864,0.428134794,1.919078092,4.476672252
2020/3/16,4.267640982,1.307496038,-1.81787604,4.740520586,0.411619706,1.919078092,4.267640982
2020/3/23,3.990250033,1.34214058,-1.869992686,4.789615962,0.372912003,1.672097858,3.990250033
2020/3/30,3.261024834,1.262789985,-1.943386109,4.774261423,0.334453751,1.380211242,3.261024834
2020/4/6,3.2929203,1.284591852,-2.025928674,4.780957838,0.330413773,1,3.2929203
2020/4/13,3.454997217,1.335314593,-2.11200432,4.812853219,0.330413773,0.84509804,3.454997217
2020/4/20,3.441066407,1.333878907,-2.203082599,4.767719712,0.334453751,0.698970004,3.441066407
2020/4/27,3.419790586,1.383815366,-2.302201215,4.598243192,0.365487985,0,3.419790586
2020/5/4,3.466571072,1.437524073,-2.414417121,4.552729037,0.376576957,0.477121255,3.466571072
2020/5/11,3.515608949,1.433655561,-2.510396269,4.543347759,0.376576957,0,3.515608949
2020/5/18,3.561459171,1.420662877,-2.488230773,4.533759352,0.397940009,0,3.561459171
2020/5/25,3.594613509,1.428134794,-2.309021123,4.572650915,0.397940009,0,3.594613509
2020/6/1,3.648847708,1.443821566,-2.063520992,4.515264345,0.414973348,0,3.648847708
2020/6/8,3.66029616,1.450908629,-1.836048755,4.516773278,0.456366033,1.204119983,3.66029616
2020/6/15,3.710963119,1.450908629,-1.673885706,4.491165517,0.46834733,0.477121255,3.710963119
2020/6/22,3.702516697,1.462611883,-1.577421371,4.46167857,0.447158031,0,3.702516697
2020/6/29,3.748110467,1.459607858,-1.546546255,4.476483822,0.394451681,0,3.748110467
2020/7/6,3.757775491,1.461969911,-1.596345368,4.47364752,0.376576957,0.301029996,3.757775491
2020/7/13,4.128011333,1.468558307,-1.737937528,4.460461827,0.369215857,0,4.128011333
2020/7/20,4.367505009,1.467290909,-2.004683493,4.443935427,0.372912003,0,4.367505009
2020/7/27,4.435079538,1.451786436,-2.552400454,4.439711549,0.383815366,0,4.435079538
2020/8/3,4.532690695,1.440684234,0,4.438099127,0.376576957,0,4.532690695
2020/8/10,4.600133974,1.4506889,-2.818362751,4.478941472,0.376576957,0.301029996,4.600133974
2020/8/17,4.677533956,1.441582929,-2.162345539,4.492969805,0.350248018,0.301029996,4.677533956
2020/8/24,4.784132095,1.465382851,-1.857051411,4.483501713,0.369215857,0,4.784132095
2020/8/31,4.880624976,1.463466374,-1.683162163,4.51263104,0.424881637,0.301029996,4.880624976
2020/9/7,4.953484245,1.443598221,-1.588791756,4.535812938,0.480006943,0.477121255,4.953484245
2020/9/14,5.012005788,1.444044796,-1.544367831,4.548217386,0.480006943,0.301029996,5.012005788
2020/9/21,5.014982309,1.439107028,-1.536501249,4.573892271,0.465382851,0,5.014982309
2020/9/28,5.089753258,1.425347868,-1.56310816,4.537995295,0.499687083,0.698970004,5.089753258
2020/10/5,5.033443861,1.396697391,-1.63033679,4.550411819,0.46834733,0.301029996,5.033443861
2020/10/12,5.067840516,1.402138509,-1.739479588,4.582915199,0.437750563,0.602059991,5.067840516
2020/10/19,5.099580514,1.358478735,-1.874520784,4.516151809,0.462397998,0.698970004,5.099580514
2020/10/26,5.120228332,1.367089564,-1.980516356,4.522418149,0.494154594,0.77815125,5.120228332
2020/11/2,5.12303453,1.373174814,-1.951375505,4.526119489,0.499687083,0.301029996,5.12303453
2020/11/9,5.115081049,1.343830444,-1.795102946,4.536166896,0.515873844,0.77815125,5.115081049
2020/11/16,5.166065829,1.375010048,-1.647708903,4.578616291,0.507855872,0.77815125,5.166065829
2020/11/23,5.166219873,1.327504891,-1.558357171,4.573764819,0.485721426,0.602059991,5.166219873
2020/11/30,5.118912542,1.214465378,-1.545416755,4.578845422,0.488550717,1.322219295,5.118912542
2020/12/7,5.117271296,1.279406185,-1.628391713,4.608878888,0.50242712,1.431363764,5.117271296
2020/12/14,5.113615838,1.122449936,-1.689098382,4.644064206,0.499687083,1.579783597,5.113615838
2020/12/21,5.165947296,1.238046103,-1.5165738,4.626319833,0.5132176,1.792391689,5.165947296
2020/12/28,5.132826209,1.163502132,-1.189518553,4.576893946,0.531478917,1.748188027,5.132826209
2021/1/4,5.041207083,1.122449936,-0.873644003,4.583708742,0.515873844,2.093421685,5.041207083
2021/1/11,5.064727468,1.125713571,-0.631787009,4.555940438,0.50242712,2.089905111,5.064727468
2021/1/18,5.066482467,1.244100327,-0.467053621,4.517024258,0.488550717,2.204119983,5.066482467
